Tiempo,Temperatura
178.13,31.00
178.33,31.00
178.54,30.75
178.75,31.00
178.95,31.00
179.16,30.50
179.36,31.25
179.56,31.25
179.77,31.00
179.97,31.25
180.17,31.25
180.38,31.25
180.58,31.00
180.79,31.25
181.50,31.00
181.71,31.50
181.91,31.25
182.12,31.50
182.32,31.50
182.52,31.75
182.73,31.75
183.18,31.75
183.22,31.50
183.34,31.75
183.54,31.75
183.74,31.75
183.94,31.75
184.15,31.25
184.35,31.75
184.55,31.75
184.76,32.25
185.26,32.00
185.31,31.75
185.37,31.75
185.57,32.25
185.78,31.75
185.98,31.75
186.19,31.75
186.40,31.75
186.60,32.25
186.80,32.50
187.31,32.00
187.39,32.00
187.49,32.25
187.64,32.25
187.85,32.25
188.37,32.75
188.44,32.75
188.52,32.75
188.68,32.75
188.88,32.75
189.41,32.75
189.49,32.75
189.57,32.25
189.74,33.00
189.94,32.75
190.47,33.00
190.56,32.75
190.64,32.75
190.77,32.50
190.97,32.75
191.52,33.25
191.62,33.25
191.72,33.00
191.81,33.25
192.01,33.00
192.57,33.25
192.65,32.75
192.73,33.00
192.84,33.25
193.04,33.25
193.63,33.25
193.72,33.50
193.80,33.25
193.89,33.25
194.09,33.50
194.30,33.25
194.51,33.25
194.71,33.25
195.21,33.75
195.27,33.50
195.32,33.50
195.53,34.00
195.73,33.25
195.93,34.00
196.14,33.50
196.34,34.00
196.54,34.00
196.75,34.00
197.27,33.75
197.34,34.00
197.38,34.00
197.58,33.75
197.80,33.75
198.30,34.25
198.35,34.00
198.41,34.25
198.61,34.00
198.82,34.25
199.02,34.25
199.22,34.25
199.43,34.25
199.63,34.00
199.84,34.25
200.04,34.25
200.24,34.00
200.45,34.00
200.65,34.50
200.86,34.25
201.06,34.25
201.45,34.75
201.53,34.50
201.69,34.75
201.89,34.75
202.49,34.75
202.57,35.00
202.65,34.50
202.74,34.50
202.94,34.75
203.15,34.75
203.35,34.50
203.56,35.00
204.04,35.00
204.12,35.00
204.18,34.50
204.39,34.75
204.60,35.00
205.08,34.75
205.16,35.25
205.25,35.50
205.43,35.25
205.63,35.25
206.12,35.50
206.20,35.25
206.29,35.50
206.47,35.00
206.68,35.50
206.89,35.50
207.09,35.50
207.30,35.50
207.66,35.50
207.75,35.75
207.93,35.50
208.13,35.50
208.69,35.75
208.77,35.75
208.86,35.50
208.96,36.00
209.16,35.50
209.37,35.75
209.58,35.75
209.78,36.25
210.29,36.25
210.38,35.50
210.46,35.75
210.62,36.25
210.82,36.50
211.34,35.75
211.41,36.00
211.50,36.00
211.66,36.50
211.86,36.50
212.38,36.50
212.46,36.25
212.54,36.50
212.71,36.25
212.91,36.75
213.44,36.75
213.52,36.50
213.59,37.00
213.76,36.75
213.96,36.75
214.49,36.50
214.58,36.75
214.66,36.75
214.79,37.00
215.00,37.00
215.54,37.00
215.64,36.75
215.74,37.00
215.83,37.00
216.04,36.75
216.60,36.50
216.69,37.25
216.77,36.50
216.85,37.00
217.06,37.25
217.26,37.50
217.46,37.00
217.67,37.50
218.17,37.50
218.25,37.50
218.33,37.25
218.50,37.25
218.72,37.25
219.19,37.75
219.27,37.75
219.35,37.50
219.53,37.75
219.74,37.50
220.24,37.75
220.32,37.50
220.40,38.00
220.57,38.00
220.77,38.00
221.29,38.00
221.37,38.00
221.46,37.75
221.61,38.25
